source_text,target_text
"Australia has strong international teams in cricket, field hockey, netball, rugby league, rugby union, and performs well in cycling, rowing, and swimming.","In international sports, Australia has very strong teams in cricket, hockey, netball, rugby league, rugby union, and performs well in cycling, rowing and swimming."
"Nationally, other popular sports include Australian rules football, horse racing, surfing, football (soccer), and motor racing.","Local popular sports include Australian rules football, horse racing, soccer and motor racing."
"Australia has participated in every summer Olympic Games of the modern era, and every Commonwealth Games.","Australia has participated in every summer Olympic Games since 1896, and every Commonwealth Games."
"Australia hosted the 1956 Summer Olympics in Melbourne and the 2000 Summer Olympics in Sydney, and has ranked among the top six medal-takers since 2000.","Australia has hosted the 1956 and 2000 Summer Olympics, and has ranked in the top five medal-winners since 2000."
"Other major international events held regularly in Australia include the Australian Open, one of the four Grand Slam tennis tournaments, annual international cricket matches and the Formula One Australian Grand Prix.","Other major international events held in Australia include the Grand Slam Australian Open tennis tournament, international cricket matches, and the Formula One Australian Grand Prix."
"The highest rating television programs include sports coverage such as the summer Olympic Games, State of Origin, and the grand finals of the National Rugby League and Australian Football League.",some of the highest rating television programs include the summer Olympic Games and the grand finals of local and international football competitions.
"American English (variously abbreviated AmE, AE, AmEng, USEng, en-US, also known as United States English, or U.S. English) is a set of dialects of the English language used mostly in the United States.","U.S. English is the dialect (or rather, a variety of dialects) of English language spoken in the United States."
"Particular kinds of aquaculture include algaculture (the production of kelp/seaweed and other algae), fish farming, shrimp farming, oyster farming, and the growing of cultured pearls.","Aquaculture is the farming of fish, shrimp, and algae."
"In 1869, building upon earlier discoveries by such scientists as Lavoisier, Dmitri Mendeleev published the first functional periodic table.",A scientist called Dmitri Mendeleev was the first to think of the table.
"Since the 20th century, the field of professional astronomy split into observational and theoretical branches.","Since the 20th century there have been two main types of astronomy, Observational and Theoretical astronomy."
"Stars were proven to be similar to the Earth's own Sun, but with a wide range of temperatures, masses, and sizes.","They also saw how stars were similar to our Sun, but in a range of temperatures, masses and sizes."
A solar wind of plasma particles constantly streams outward from the Sun until it reaches the heliopause.,A stream of charged particles called the Solar wind is constantly being sent off from the Sun.
"Planetary Astronomy examines the assemblage of planets, moons, dwarf planets, comets, asteroids, and other bodies orbiting the Sun, as well as extrasolar planets.","Planetary science is the study of planets, moons, dwarf planets, comets and asteroids as well as other small objects that orbit stars."
"It is bordered by Iran in the south and west, Pakistan in the south and east, Turkmenistan, Uzbekistan and Tajikistan in the north, and China in the far northeast.","It is bordered by Iran in the west, Pakistan in the south and east, Turkmenistan, Uzbekistan, Tajikistan in the north, and China in the northeast."
"The population of Afghanistan is divided into a wide variety of ethnic groups of which Tajik, Pashtun, Hazara, Uzbek and Baloch.",The population of Afghanistan is divided into many ethnic groups.
"By the middle of the sixth century BC, the Persian Empire of the Achaemenid Persians overthrew the Median Empire and incorporated Afghanistan (known as Arachosia to the Greeks) within its boundaries.","By the middle of the sixth century BC, the Persians who were also Aryans included the area within its boundaries and created Persian Empire."
"The Sovietoccupation resulted in the killings of at least 600,000 to 2 million Afghan civilians and many more refugees.",The occupation resulted in the killings of between six hundred thousand and 2million Afghan civilians.
"During the Taliban's seven-year rule, much of the population experienced restrictions on their freedom and violations of their human rights.","During the Taliban's seven-year rule, much of the population experienced restrictions on their freedom and violations of their human rights."
"Following the September 11 attacks, the United States overthrew the Taliban government for refusing to hand over Osama bin Laden and several al-Qaida members, who were behind these attacks.",The U.S. military also threatened to overthrow the Taliban government for refusing to hand over Osama bin Laden and several Al-Qaeda members.
"The official language of Argentina is Spanish, usually called castellano (Castilian) by Argentines.",Spanish is the language most people speak and the official language.
Its continental area is between the Andes mountain range in the west and the southern Atlantic Ocean in the east and south containing.,Argentina is located between the Andes mountain range in the west and the southern Atlantic Ocean in the east and south.
"Argentina borders Paraguay and Bolivia to the north, Brazil and Uruguay to the northeast, and Chile to the west and south.","It is bordered by Paraguay and Bolivia in the north, Brazil and Uruguay in the northeast, and Chile in the west and south."
"The name of Argentina is derived from the Latin argentum (silver), which in turn comes from the Ancient Greek.",The name Argentina comes from the Latin argentum (silver).
"Austria borders both Germany and the Czech Republic to the north, Slovakia and Hungary to the east, Slovenia and Italy to the south, and Switzerland and Liechtenstein to the west.","Around Austria there are Germany, Czech Republic, Slovakia, Hungary, Slovenia, Italy, Switzerland, and Liechtenstein."
They formed a coalition with Werner Faymann from the Social Democrats as Chancellor.,"Currently, the chancellor is Werner Faymann."
"Austria has been a member of the United Nations since 1955, joined the European Union in 1995, and is a founder of the OECD.",Austria is in the United Nations since 1955 and in the European Union since 1995.
Austria is a largely mountainous country due to its location in the Alps.,Austria is a largely mountainous country since it is in the Alps.
The high mountainous Alps in the west of Austria flatten somewhat into low lands and plains in the east of the country.,The Alps of western Austria give way somewhat into low lands and plains in the eastern part of the country.
"Typical Austrian dishes include Wiener Schnitzel, Apfelstrudel, Schweinsbraten, Kaiserschmarren, Knödel, Sachertorte and Tafelspitz.","Famous Austrian dishes are Wiener Schnitzel, Kaiserschmarren, Knödel, Sachertorte and Tafelspitz."
"Restoration of independence In 1991, the Soviet Union broke apart and Armenia re-established its independence.",Armenia received its independence from the Soviet Union in 1991.
"Vertebrates comprise cyclostomes, bony fish, sharks and rays, amphibians, reptiles, mammals, and birds.","The vertebrates are divided into 5 groups, fish, birds, amphibians, reptiles and mammals."
"The word use of Basic English is like full English, but the rules are much simpler, and there are fewer exceptions.","The word use of Basic English is like full English, but the rules are much simpler, and there are fewer exceptions."
"The most common variant of German Blutwurst is made from pork rind, pork blood and regionally different fillers such as barley.","The most common kind of German blutwurst is made from fatty pork meat, beef blood and filler such as barley."
"Though already cooked and ""ready to eat"" it is sometimes served warm, similar to the usage in France.","Though already cooked and ""ready to eat"" it is usually served warm."
A boot is a type of footwear that covers at least the foot and the ankle and sometimes extends up to the knee or even the hip.,A boot is a type of footwear that protects the foot and ankle.
Variations made from pork and beef mixtures as well as poultry can now be found.,Different types made from pork and beef mixtures as well as poultry can now be found.
"Most commonly served as patties or slices from a large roll, breakfast sausage also comes in links of various lengths and diameters.","Breakfast sausages are available in patties or slices from a large roll, or in weiner-like links of different lengths and thickness."
"Names ""Beijing"" means ""northern capital"", in line with the common East Asian tradition whereby capital cities are explicitly named as such.","Name Beijing means ""the northern capital"" in the Chinese language."
"Beijing is home to a great number of colleges and universities, including several well-regarded universities of international stature, such as Peking University and Tsinghua University.",They also include 2 of the top universities: Peking University and Tsinghua University.
There are many sizes and shapes of bottles used for wine.,Bottles can be many different sizes.
"The botanical definition of a berry is a simple fruit produced from a single ovary, such as a grape or a tomato.","When botanists talk about berries, they mean a simple fruit produced from a single ovary."
The true berry is the most common type of fleshy fruit in which the entire ovary wall ripens into an edible pericarp.,The berry is the most common type of fleshy fruit in which the entire ovary wall ripens into an edible pericarp.
The flowers of these plants had a superior ovary and one or more carpels within a thin covering and fleshy interiors.,The flowers of these plants have a superior ovary formed by the fusion of two or more carpels.
The seeds are embedded in the common flesh of the ovary.,The seeds are embedded in the flesh of the ovary.
"Black is the lack of all colors of light, or an exhaustive combination of multiple colors of pigment.","In light, black is lack of all color."
"A black pigment can, however, result from a combination of several pigments that collectively absorb all colors.","In painting, however, the black pigment is the combination of all colors."
"It is the fifth largest country by geographical area, occupying nearly half of South America, the fifth most populous country, and the fourth most populous democracy in the world.",The country is the fifth largest in the world by area.
"Wilhelm Schickard's 1623 device was the first of a number of mechanical calculators constructed by European engineers, but none fit the modern definition of a computer, because they could not be programmed.",Wilhelm Schickard made a mechanical calculator.
"In 1801, Joseph Marie Jacquard made an improvement to the textile loom by introducing a series of punched paper cards as a template which allowed his loom to weave intricate patterns automatically.","In 1801, Joseph Marie Jacquard used punched paper cards to tell his textile loom how to weave complicated patterns."
"In 1837, Charles Babbage was the first to conceptualize and design a fully programmable mechanical computer, his analytical engine.",Charles Babbage was the first to make a design of a fully programmable mechanical computer.
The length of day and night could be re-programmed every day in order to account for the changing lengths of day and night throughout the year.,The length of day and night could be re-programmed to compensate for the changing lengths of day and night throughout the year.
"A number of projects to develop computers based on the stored-program architecture commenced around this time, the first of these being completed in Great Britain.","A number of projects to develop computers based on architecture started around this time,  the first of these was completed in Great Britain."
"Several developers of ENIAC, recognizing its flaws, came up with a far more flexible and elegant design, which came to be known as the ""stored program architecture"" or von Neumann architecture.","They invented a more flexible and elegant design, which is known as ""stored program architecture"" or von Neumann architecture."
"In the 1970s, integrated circuit technology and the subsequent creation of microprocessors, such as the Intel 4004, further decreased size and cost and further increased speed and reliability of computers.","Microprocessors, such as the Intel 4004, further decreased size and cost."
"By the late 1970s, many products such as video recorders contained dedicated computers called microcontrollers, and they started to appear as a replacement to mechanical controls in domestic appliances such as washing machines.","By the 1980s, computers became small and cheap enough to replace simple mechanical controls in domestic appliances such as washing machines."
Fire is primarily hot and secondarily dry.,Fire is both hot and dry.
Ancient China was one of the earliest centers of human civilization.,China has one of the oldest civilizations in the world.
It has a population of 104390 people.,It has a population of 104390.
"This process of working out a slope using limits is called differentiation, or finding the derivative.",The process of finding the derivative is called differentiation.
"The Giotto probe found that Comet Halley's nucleus reflects approximately 4% of the light that falls on it,  and Deep Space 1 discovered that Comet Borrelly's surface reflects 2.4–3.0% of the light that falls on it.","When light shone on Comet Halley's nucleus, the comet reflected only 4% of the light back to us."
"They are often popularly described as ""dirty snowballs"", though recent observations have revealed dry dusty or rocky surfaces, suggesting that the ices are hidden beneath the crust (see Debate over comet composition).","They are often described as ""dirty snowballs""."
Most widely available vegetarian cheeses are made using rennet produced by fermentation of the fungus Mucor miehei.,Most of these are produced by fermentation of the fungus called Mucor miehei.
December is the twelfth and last month of the year in the Gregorian Calendar and one of seven Gregorian months with the length of 31 days.,"December is the twelfth and last month of the year, with 31 days."
Revisions were made and published in 1946 and 1951.,It was changed in 1946 and 1951.
December starts on the same day of the week as September every year.,December begins on the same day of the week as September.
December's flower is the Narcissus with its birthstone being the Turquoise.,December's flower is the narcissus or holly.
The vocabulary of Speedwords uses many international words and compressed forms of the writer's own language.,The words are like short versions of the writer's own language.
Danish is the official language and is spoken throughout the country.,The Danes speak Danish.
"Fish is traditionally more widely eaten on the west coast of Jutland, where fishing is a major industry.","Fish is also widely eaten, especially on the west coast of Jutland."
"The planet formed 4.54 billion years ago, and life appeared on its surface within a billion years.",Science shows that the Earth formed around 4.5 billion years ago.
Denmark is the smallest of the Scandinavian countries.,Denmark is the smallest country in Scandinavia.
The Earth's terrain varies greatly from place to place.,The Earth changes greatly from place to place.
"From 1922, following the partition of Ireland, Dublin became the capital of the Irish Free State (1922–1949) and now is the capital of the Republic of Ireland.",Dublin is the capital city of the Republic of Ireland.
